001,99849574038,Elias,7500;
001,26608609043,João,5000;
001,94852117080,Carlos,4500;
001,69251226083,Maria,8000;
001,71060867036,Joana,5000;
002,93812510000144,Orange Dev,TI;
002,08051555000174,Blue Sky,Marketing;
002,03063194000162,Skt Land,Sports;
002,42933442000130,Surf Paradise,Sports;
002,55008858000194,Data Sci,TI;
002,48082349000146,Candy Shop,Grocery;
002,65471104000120,Speed Racer,Cars;
003,1,[Hat,1,5,100],69251226083;
003,2,[Orange Tree,35,2,90],71060867036;
003,3,[Orange Juice,23,3,10],94852117080;
003,4,[Board,50,1,909.99],69251226083;
003,5,[Ford Focus,66,1,39000],69251226083;
003,6,[Hot Wheels,88,1,1.99],85769035048;
003,7,[Stent,44,1,10000],99849574038;
003,8,[Shape,51,2,300],26608609043;
003,9,[Plate,99,5,65],14246812005;
003,10,[Cups,95,6,20],75686864004;
